word1,word2,gold_score,model_score
tiny,huge,0.6,0.25594329833984375
polite,proper,7.63,0.15978480875492096
modest,ashamed,2.65,0.13682512938976288
exotic,rare,8.05,0.18391335010528564
dumb,clever,1.17,0.11815591156482697
delightful,wonderful,8.65,0.3490188717842102
noticeable,obvious,8.48,0.31732574105262756
afraid,anxious,5.07,0.26724526286125183
formal,proper,8.02,0.25464385747909546
dreary,dull,8.25,0.2828657627105713
delightful,cheerful,6.58,0.2718593180179596
unhappy,mad,5.95,0.15916819870471954
sad,terrible,5.4,0.16880306601524353
sick,crazy,3.57,0.17211546003818512
violent,angry,6.98,0.22889384627342224
laden,heavy,5.9,0.2207699418067932
dirty,cheap,1.6,0.23981741070747375
elastic,flexible,7.78,0.21440351009368896
hard,dense,5.9,0.18619340658187866
recent,new,7.05,0.2862370014190674
bold,proud,3.97,0.19677314162254333
sly,strange,1.97,0.17572477459907532
strange,sly,2.07,0.17572477459907532
dumb,rare,0.48,0.07426590472459793
sly,tough,0.58,0.1473231017589569
terrific,mad,0.4,0.05359519645571709
modest,flexible,0.98,0.16129156947135925
fresh,wide,0.4,0.17567573487758636
huge,dumb,0.48,0.10994181036949158
large,flexible,0.48,0.11101974546909332
dirty,narrow,0.3,0.12298303842544556
wife,husband,2.3,0.44806337356567383
book,text,6.35,0.2344704419374466
groom,bride,3.17,0.3848345875740051
night,day,1.88,0.4281109571456909
south,north,2.2,0.5603213310241699
plane,airport,3.65,0.20981952548027039
uncle,aunt,5.5,0.4997142553329468
horse,mare,8.33,0.32491475343704224
bottom,top,0.7,0.3993462324142456
friend,buddy,8.78,0.265468955039978
student,pupil,9.35,0.29562535881996155
world,globe,6.67,0.26614922285079956
leg,arm,2.88,0.31610289216041565
plane,jet,8.1,0.28982025384902954
woman,man,3.33,0.41855108737945557
horse,colt,7.07,0.29748451709747314
actress,actor,7.12,0.6187549829483032
teacher,instructor,9.25,0.30492454767227173
movie,film,8.87,0.48420995473861694
bird,hawk,7.85,0.22033290565013885
word,dictionary,3.68,0.21173250675201416
money,salary,7.88,0.15906992554664612
dog,cat,1.75,0.3708261549472809
area,region,9.47,0.37177178263664246
navy,army,6.43,0.38813793659210205
book,literature,7.53,0.23008757829666138
clothes,closet,3.27,0.23122432827949524
sunset,sunrise,2.47,0.5908730626106262
child,adult,2.98,0.2036026418209076
cow,cattle,9.52,0.36009132862091064
book,story,5.63,0.29127150774002075
winter,summer,2.38,0.41795191168785095
taxi,cab,9.2,0.3646796643733978
tree,maple,5.53,0.20836126804351807
bed,bedroom,3.4,0.32397541403770447
roof,ceiling,7.58,0.3122117817401886
disease,infection,7.15,0.30813419818878174
arm,shoulder,4.85,0.2219071388244629
sheep,lamb,8.42,0.36608052253723145
lady,gentleman,3.42,0.37741196155548096
boat,anchor,2.25,0.2508598566055298
priest,monk,6.28,0.35300761461257935
toe,finger,4.68,0.181199848651886
river,stream,7.3,0.27547210454940796
anger,fury,8.73,0.3161749243736267
date,calendar,4.42,0.21126499772071838
sea,ocean,8.27,0.32016807794570923
second,minute,4.62,0.30570343136787415
hand,thumb,3.88,0.2696244716644287
wood,log,7.3,0.16090436279773712
mud,dirt,7.32,0.2932282090187073
hallway,corridor,9.28,0.36915910243988037
way,manner,7.62,0.22444726526737213
mouse,cat,1.12,0.20342013239860535
cop,sheriff,9.05,0.1429324746131897
death,burial,4.93,0.21655884385108948
music,melody,6.98,0.34538206458091736
beer,alcohol,7.5,0.2630346715450287
mouth,lip,7.1,0.2351970374584198
storm,hurricane,6.38,0.3603549599647522
tax,income,2.38,0.2310117930173874
flower,violet,6.95,0.21789658069610596
paper,cardboard,5.38,0.305759996175766
floor,ceiling,1.73,0.33916670083999634
beach,seashore,8.33,0.2569488286972046
rod,curtain,3.03,0.15018439292907715
hound,fox,2.38,0.22434881329536438
street,alley,5.48,0.25101131200790405
boat,deck,4.28,0.2717641294002533
car,horn,2.57,0.19190092384815216
friend,guest,4.25,0.19361434876918793
employer,employee,3.65,0.3566186726093292
hand,wrist,3.97,0.31260809302330017
ball,cannon,2.58,0.19130399823188782
alcohol,brandy,6.98,0.2174280434846878
victory,triumph,8.98,0.3365972638130188
telephone,booth,3.63,0.1384628266096115
door,doorway,5.4,0.40350374579429626
motel,inn,8.17,0.19003482162952423
clothes,cloth,5.47,0.3542667031288147
steak,meat,7.47,0.3293977975845337
nail,thumb,3.55,0.18189969658851624
band,orchestra,7.08,0.32674822211265564
book,bible,5.0,0.23219576478004456
business,industry,7.02,0.35062772035598755
winter,season,6.27,0.3196968734264374
decade,century,3.48,0.28160321712493896
alcohol,gin,8.65,0.1517246961593628
hat,coat,2.67,0.2521263659000397
window,door,3.33,0.35957157611846924
arm,wrist,3.57,0.31366634368896484
house,apartment,5.8,0.26709628105163574
glass,crystal,6.27,0.26764029264450073
wine,brandy,5.15,0.25534626841545105
creator,maker,9.62,0.3037051558494568
dinner,breakfast,3.33,0.3047029972076416
arm,muscle,3.72,0.13455340266227722
bubble,suds,8.57,0.22706155478954315
bread,flour,3.33,0.28375011682510376
death,tragedy,5.8,0.22375956177711487
absence,presence,0.4,0.3637755513191223
gun,cannon,5.68,0.29306039214134216
grass,blade,4.57,0.1830156445503235
ball,basket,1.67,0.18952244520187378
hose,garden,1.67,0.17138154804706573
boy,kid,7.5,0.2699606716632843
church,choir,2.95,0.3007364869117737
clothes,drawer,3.02,0.22260065376758575
tower,bell,1.9,0.1598193198442459
father,parent,7.07,0.2679345905780792
school,grade,4.42,0.28601565957069397
parent,adult,5.37,0.24479685723781586
bar,jail,1.9,0.12298513203859329
car,highway,3.4,0.21686510741710663
dictionary,definition,6.25,0.2776816487312317
door,cellar,1.97,0.20987430214881897
army,legion,5.95,0.243438258767128
metal,aluminum,7.25,0.24983230233192444
chair,bench,6.67,0.2566515803337097
cloud,fog,6.0,0.2001771628856659
boy,son,6.75,0.2628156542778015
water,ice,6.47,0.2676308751106262
bed,blanket,3.02,0.2342265546321869
attorney,lawyer,9.35,0.4529315233230591
area,zone,8.33,0.28712642192840576
business,company,9.02,0.3664730191230774
clothes,fabric,5.87,0.18575473129749298
sweater,jacket,7.15,0.29436567425727844
money,capital,6.67,0.16817577183246613
hand,foot,4.17,0.286530464887619
alcohol,cocktail,6.73,0.19344721734523773
yard,inch,3.78,0.20409268140792847
molecule,atom,6.45,0.2968177795410156
lens,camera,4.28,0.327776163816452
meal,dinner,7.15,0.2642757296562195
eye,tear,3.55,0.19586436450481415
god,devil,1.8,0.1466984748840332
loop,belt,3.1,0.1726544052362442
rat,mouse,7.78,0.2511380612850189
motor,engine,8.65,0.33042556047439575
car,cab,7.42,0.2944824695587158
cat,lion,6.75,0.20026345551013947
size,magnitude,6.33,0.27143335342407227
reality,fantasy,1.03,0.17901894450187683
door,gate,5.25,0.32781052589416504
cat,pet,5.95,0.2742166221141815
tin,aluminum,6.42,0.1912454068660736
bone,jaw,4.17,0.2830565869808197
cereal,wheat,3.75,0.27140095829963684
house,key,1.9,0.13290882110595703
blood,flesh,4.28,0.2386431097984314
door,corridor,3.73,0.23655885457992554
god,spirit,7.3,0.16421879827976227
capability,competence,7.62,0.22994154691696167
abundance,plenty,8.97,0.26703596115112305
sofa,chair,6.67,0.2539295554161072
wall,brick,4.68,0.23094594478607178
horn,drum,2.68,0.25710925459861755
organ,liver,6.15,0.206745445728302
strength,might,7.07,0.12833106517791748
phrase,word,5.48,0.2854995131492615
band,parade,3.92,0.24391338229179382
stomach,waist,5.9,0.23420946300029755
cloud,storm,5.6,0.25574442744255066
joy,pride,5.0,0.2381882220506668
noise,rattle,6.17,0.19000856578350067
rain,mist,5.97,0.20286256074905396
beer,beverage,5.42,0.25730597972869873
man,uncle,3.92,0.1476222723722458
apple,juice,2.88,0.23909960687160492
intelligence,logic,6.5,0.23698866367340088
communication,language,7.47,0.2823455333709717
mink,fur,6.83,0.2950510084629059
mob,crowd,7.85,0.24139954149723053
shore,coast,8.83,0.27641668915748596
wire,cord,7.62,0.18605603277683258
bird,turkey,6.58,0.25296273827552795
bed,crib,7.3,0.28717857599258423
competence,ability,7.5,0.18782258033752441
cloud,haze,7.32,0.16574174165725708
supper,meal,7.53,0.23820334672927856
bar,cage,2.8,0.194883793592453
water,salt,1.3,0.26264920830726624
sense,intuition,7.68,0.20694765448570251
situation,condition,6.58,0.26373326778411865
crime,theft,7.53,0.23426730930805206
style,fashion,8.5,0.19562023878097534
boundary,border,9.08,0.2881709635257721
arm,body,4.05,0.21825872361660004
boat,car,2.37,0.31766775250434875
sandwich,lunch,6.3,0.2563004195690155
bride,princess,2.8,0.18457576632499695
heroine,hero,8.78,0.5134111642837524
car,gauge,1.13,0.18736563622951508
insect,bee,6.07,0.2809421718120575
crib,cradle,8.55,0.31772997975349426
animal,person,3.05,0.15849657356739044
marijuana,herb,6.5,0.23132860660552979
bed,hospital,0.92,0.20697247982025146
cheek,tongue,4.52,0.19765819609165192
disc,computer,3.2,0.15310800075531006
curve,angle,3.33,0.1796492040157318
grass,moss,5.0,0.2514020502567291
school,law,1.13,0.23171302676200867
foot,head,2.3,0.24575985968112946
mother,guardian,6.5,0.14671561121940613
orthodontist,dentist,8.27,0.4464731812477112
alcohol,whiskey,7.27,0.28172940015792847
mouth,tooth,6.3,0.18153777718544006
breakfast,bacon,4.37,0.24579332768917084
bathroom,bedroom,3.4,0.3857908546924591
plate,bowl,5.23,0.22504355013370514
meat,bacon,5.8,0.22801090776920319
air,helium,3.63,0.23186375200748444
worker,employer,5.37,0.24364259839057922
body,chest,4.45,0.24154600501060486
son,father,3.82,0.3673143982887268
heart,surgery,1.08,0.21298125386238098
woman,secretary,1.98,0.13974666595458984
man,father,4.83,0.2250804901123047
beach,island,5.6,0.2919970750808716
story,topic,5.0,0.2526332139968872
game,fun,3.42,0.18339188396930695
weekend,week,4.0,0.3549078106880188
couple,pair,8.33,0.2838059663772583
woman,wife,5.72,0.3249873220920563
sheep,cattle,4.77,0.3322269320487976
purse,bag,8.33,0.33323538303375244
ceiling,cathedral,2.42,0.21396490931510925
bean,coffee,5.15,0.1808888167142868
wood,paper,2.88,0.21935254335403442
top,side,1.9,0.24954450130462646
crime,fraud,5.65,0.26818153262138367
pain,harm,5.38,0.22521957755088806
lover,companion,5.97,0.16450969874858856
evening,dusk,7.78,0.2240213006734848
father,daughter,2.62,0.3561360836029053
wine,liquor,7.85,0.2593078315258026
cow,goat,2.93,0.25236648321151733
belief,opinion,7.7,0.23554813861846924
reality,illusion,1.42,0.21076425909996033
pact,agreement,9.02,0.28490781784057617
wealth,poverty,1.27,0.251778781414032
accident,emergency,4.93,0.16934700310230255
battle,conquest,7.22,0.22283479571342468
friend,teacher,2.62,0.24826519191265106
illness,infection,6.9,0.270443856716156
game,trick,2.32,0.23121491074562073
brother,son,3.48,0.24877972900867462
aunt,nephew,3.1,0.33644917607307434
worker,mechanic,4.92,0.17760971188545227
doctor,orthodontist,5.58,0.22742855548858643
oak,maple,6.03,0.24315910041332245
bee,queen,3.27,0.263396292924881
car,bicycle,3.47,0.24220901727676392
goal,quest,5.83,0.21663302183151245
august,month,5.53,0.11768371611833572
army,squad,5.08,0.1834089756011963
cloud,weather,4.87,0.1677854210138321
physician,doctor,8.88,0.44595226645469666
canyon,valley,6.75,0.3344377875328064
river,valley,1.67,0.2622387111186981
sun,sky,2.27,0.2410140484571457
target,arrow,3.25,0.17658621072769165
chocolate,pie,2.27,0.15674898028373718
circumstance,situation,7.85,0.2461843192577362
opinion,choice,5.43,0.20756156742572784
rhythm,melody,6.12,0.2821676731109619
gut,nerve,4.93,0.18299835920333862
day,dawn,5.47,0.20971739292144775
cattle,beef,7.03,0.2627635896205902
doctor,professor,4.65,0.2516578137874603
arm,vein,3.65,0.18092748522758484
room,bath,3.33,0.19080451130867004
corporation,business,9.02,0.21715782582759857
fun,football,1.97,0.10535762459039688
hill,cliff,4.28,0.14306148886680603
bone,ankle,3.82,0.21282345056533813
apple,candy,2.08,0.19390399754047394
helper,maid,5.58,0.19891376793384552
leader,manager,7.27,0.28680527210235596
lemon,tea,1.6,0.22488272190093994
bee,ant,2.78,0.13419711589813232
basketball,baseball,4.92,0.471295028924942
rice,bean,2.72,0.21181541681289673
bed,furniture,6.08,0.1937696486711502
emotion,passion,7.72,0.26093482971191406
anarchy,chaos,7.93,0.36607277393341064
crime,violation,7.12,0.17058664560317993
machine,engine,5.58,0.2897402048110962
beach,sea,4.68,0.24300779402256012
alley,bowl,1.53,0.1342128962278366
jar,bottle,7.83,0.24346263706684113
strength,capability,5.28,0.21104629337787628
seed,mustard,3.48,0.17895463109016418
guitar,drum,3.78,0.25586968660354614
opinion,idea,5.7,0.20337510108947754
north,west,3.63,0.40747925639152527
diet,salad,2.98,0.21686586737632751
mother,wife,3.02,0.2852816581726074
dad,mother,3.55,0.23589542508125305
captain,sailor,5.0,0.264409601688385
meter,yard,5.6,0.22788462042808533
beer,champagne,4.45,0.28463155031204224
motor,boat,2.57,0.19361506402492523
card,bridge,1.97,0.14451010525226593
science,psychology,4.92,0.303970068693161
sinner,saint,1.6,0.2164415419101715
destruction,construction,0.98,0.2517242729663849
crowd,bunch,7.42,0.18651539087295532
beach,reef,3.77,0.23477205634117126
man,child,4.13,0.25799721479415894
bread,cheese,1.95,0.2414843738079071
champion,winner,8.73,0.25579261779785156
celebration,ceremony,7.72,0.2140927016735077
menu,order,3.62,0.16519059240818024
king,princess,3.27,0.2772384583950043
wealth,prestige,6.07,0.1969459503889084
endurance,strength,6.58,0.2632932662963867
danger,threat,8.78,0.2388216257095337
god,priest,4.5,0.23803649842739105
men,fraternity,3.13,0.1574161797761917
buddy,companion,8.65,0.20174047350883484
teacher,helper,4.28,0.18828071653842926
body,stomach,3.93,0.2152637243270874
tongue,throat,3.1,0.23811133205890656
house,carpet,1.38,0.14763405919075012
intelligence,skill,5.35,0.15822932124137878
journey,conquest,4.72,0.17882342636585236
god,prey,1.23,0.16643714904785156
brother,soul,0.97,0.11925467848777771
adversary,opponent,9.05,0.37716785073280334
death,catastrophe,4.13,0.17666317522525787
monster,demon,6.95,0.2587577700614929
day,morning,4.87,0.3705173432826996
man,victor,1.9,0.12467829138040543
friend,guy,3.88,0.22387151420116425
song,story,3.97,0.30226561427116394
ray,sunshine,6.83,0.08748534321784973
guy,stud,5.83,0.10434381663799286
chicken,rice,1.43,0.26450785994529724
box,elevator,1.32,0.16588102281093597
butter,potato,1.22,0.2221435308456421
apartment,furniture,1.28,0.23134063184261322
lake,swamp,4.92,0.23123887181282043
salad,vinegar,1.13,0.22203408181667328
flower,bulb,4.48,0.1838197112083435
cloud,mist,6.67,0.1814064234495163
driver,pilot,6.28,0.3150145411491394
sugar,honey,5.13,0.24025383591651917
body,shoulder,2.88,0.19130171835422516
idea,image,3.55,0.19896990060806274
father,brother,4.2,0.32034653425216675
moon,planet,5.87,0.18272627890110016
ball,costume,2.32,0.17713114619255066
rail,fence,5.22,0.19751925766468048
room,bed,2.35,0.2685929536819458
flower,bush,4.25,0.13792289793491364
bone,knee,4.17,0.18953436613082886
arm,knee,2.75,0.19776488840579987
bottom,side,2.63,0.22515761852264404
vessel,vein,5.15,0.2613832652568817
cat,rabbit,2.37,0.25644683837890625
meat,sandwich,2.35,0.21727636456489563
belief,concept,5.08,0.1619093269109726
intelligence,insight,5.9,0.19435212016105652
attention,interest,7.22,0.22638273239135742
attitude,confidence,4.35,0.18619172275066376
right,justice,7.05,0.1806747019290924
argument,agreement,1.45,0.24020615220069885
depth,magnitude,6.12,0.14139610528945923
medium,news,3.65,0.0941280871629715
winner,candidate,2.78,0.2250952124595642
birthday,date,5.08,0.19756722450256348
fee,payment,7.15,0.27007603645324707
bible,hymn,5.15,0.22163653373718262
exit,doorway,5.5,0.1533045768737793
man,sentry,3.25,0.13202746212482452
aisle,hall,6.35,0.22090186178684235
whiskey,gin,6.28,0.25731340050697327
blood,marrow,3.4,0.30390262603759766
oil,mink,1.23,0.1287987232208252
floor,deck,5.55,0.19582095742225647
roof,floor,2.62,0.3095555305480957
door,floor,1.67,0.258114218711853
shoulder,head,3.42,0.2567139267921448
wagon,carriage,7.7,0.3305668830871582
car,carriage,5.13,0.23877857625484467
elbow,ankle,3.13,0.28608784079551697
wealth,fame,4.02,0.20633326470851898
sorrow,shame,4.77,0.27802494168281555
administration,management,7.25,0.27074626088142395
communication,conversation,8.02,0.22990557551383972
pollution,atmosphere,4.25,0.15775109827518463
anatomy,biology,5.33,0.3033430278301239
college,profession,3.12,0.20573171973228455
book,topic,2.07,0.20642942190170288
formula,equation,7.95,0.3147980868816376
book,information,5.0,0.23852673172950745
boy,partner,1.9,0.11921141296625137
sky,universe,4.68,0.14417320489883423
population,people,7.68,0.25084665417671204
college,class,4.13,0.22334793210029602
chief,mayor,4.85,0.24464616179466248
rabbi,minister,7.62,0.24733667075634003
meter,inch,5.08,0.2281045913696289
polyester,cotton,5.63,0.2689373195171356
lawyer,banker,1.88,0.2676064968109131
violin,instrument,6.58,0.26519832015037537
camp,cabin,4.2,0.25694260001182556
pot,appliance,2.53,0.12651817500591278
linen,fabric,7.47,0.2672159969806671
whiskey,champagne,5.33,0.3080916106700897
girl,child,5.38,0.3123050928115845
cottage,cabin,7.72,0.25134849548339844
bird,hen,7.03,0.17916733026504517
racket,noise,8.1,0.19260439276695251
sunset,evening,5.98,0.17654524743556976
drizzle,rain,9.17,0.2849062383174896
adult,baby,2.22,0.17079894244670868
charcoal,coal,7.63,0.3313012719154358
body,spine,4.78,0.17433176934719086
head,nail,2.47,0.19760024547576904
log,timber,8.05,0.1596902459859848
spoon,cup,2.02,0.2403838187456131
body,nerve,3.13,0.1769605278968811
man,husband,5.32,0.2182912677526474
bone,neck,2.53,0.15607324242591858
frustration,anger,6.5,0.2833788990974426
river,sea,5.72,0.2550301253795624
task,job,8.87,0.2646205425262451
club,society,5.23,0.2752824127674103
reflection,image,7.27,0.1658465713262558
prince,king,5.92,0.2655385434627533
snow,weather,5.48,0.2258812040090561
people,party,2.2,0.2554987370967865
boy,brother,6.67,0.24456322193145752
root,grass,3.55,0.1366214156150818
brow,eye,3.82,0.20856860280036926
money,pearl,2.1,0.0757133811712265
money,diamond,3.42,0.15641234815120697
vehicle,bus,6.47,0.2196294665336609
cab,bus,5.6,0.22467616200447083
house,barn,4.33,0.19814728200435638
finger,palm,3.33,0.2071923464536667
car,bridge,0.95,0.2176152616739273
effort,difficulty,4.45,0.16154414415359497
fact,insight,4.77,0.10039547830820084
job,management,3.97,0.18520352244377136
cancer,sickness,7.93,0.20293766260147095
word,newspaper,2.47,0.11244441568851471
composer,writer,6.58,0.31074875593185425
actor,singer,4.52,0.3586270809173584
shelter,hut,6.47,0.28515368700027466
bathroom,kitchen,3.1,0.3597815930843353
cabin,hut,6.53,0.2439827024936676
door,kitchen,1.67,0.22425739467144012
value,belief,7.07,0.20400500297546387
wisdom,intelligence,7.47,0.1904819905757904
ignorance,intelligence,1.5,0.19990825653076172
happiness,luck,2.38,0.18675988912582397
idea,scheme,6.75,0.22588175535202026
mood,emotion,8.12,0.20206034183502197
happiness,peace,6.03,0.21940451860427856
despair,misery,7.22,0.27251169085502625
logic,arithmetic,3.97,0.18612192571163177
denial,confession,1.03,0.19864070415496826
argument,criticism,5.08,0.22964368760585785
aggression,hostility,8.48,0.30885905027389526
hysteria,confusion,6.33,0.2903802692890167
chemistry,theory,3.17,0.18860557675361633
trial,verdict,3.33,0.21332377195358276
comfort,safety,5.8,0.2711615264415741
confidence,self,3.12,0.09818616509437561
vision,perception,6.88,0.25289785861968994
era,decade,5.4,0.23538754880428314
biography,fiction,1.38,0.17544062435626984
discussion,argument,5.48,0.23380523920059204
code,symbol,6.03,0.16872592270374298
danger,disease,3.0,0.09654631465673447
accident,catastrophe,5.9,0.19785451889038086
journey,trip,8.88,0.26813673973083496
activity,movement,7.15,0.250612735748291
gossip,news,5.22,0.21075960993766785
father,god,3.57,0.2334543615579605
action,course,5.45,0.16081275045871735
fever,illness,7.65,0.24900130927562714
aviation,flight,8.18,0.2366938591003418
game,action,4.85,0.26569998264312744
molecule,air,3.05,0.11584547907114029
home,state,2.58,0.25072360038757324
word,literature,4.77,0.15114881098270416
adult,guardian,6.9,0.15966740250587463
newspaper,information,5.65,0.18256330490112305
communication,television,5.6,0.20013415813446045
cousin,uncle,4.63,0.30221784114837646
author,reader,1.6,0.2819441258907318
guy,partner,3.57,0.16194815933704376
area,corner,2.07,0.23916774988174438
ballad,song,7.53,0.3638206422328949
wall,decoration,2.62,0.19035223126411438
word,page,2.92,0.17861434817314148
nurse,scientist,2.08,0.2693239152431488
politician,president,7.38,0.21510018408298492
president,mayor,5.68,0.33268189430236816
book,essay,4.72,0.23526859283447266
man,warrior,4.72,0.17017726600170135
article,journal,6.18,0.22294768691062927
breakfast,supper,4.4,0.25819915533065796
crowd,parade,3.93,0.2232019156217575
aisle,hallway,6.75,0.2675817906856537
teacher,rabbi,4.37,0.22606928646564484
hip,lip,1.43,0.2066943198442459
book,article,5.43,0.2763231098651886
room,cell,4.58,0.2210337221622467
box,booth,3.8,0.2838437557220459
daughter,kid,4.17,0.22831274569034576
limb,leg,6.9,0.23546209931373596
liver,lung,2.7,0.16538219153881073
classroom,hallway,2.0,0.2045498937368393
mountain,ledge,3.73,0.1743565946817398
car,elevator,1.03,0.22459529340267181
bed,couch,3.42,0.2114591896533966
clothes,button,2.3,0.14837253093719482
clothes,coat,5.35,0.2746412456035614
kidney,organ,6.17,0.24226590991020203
apple,sauce,1.43,0.17993465065956116
chicken,steak,3.73,0.27165859937667847
car,hose,0.87,0.21134789288043976
tobacco,cigarette,7.5,0.3228163719177246
student,professor,1.95,0.26884138584136963
baby,daughter,5.0,0.23283636569976807
pipe,cigar,6.03,0.2630700469017029
milk,juice,4.05,0.2869192361831665
box,cigar,1.25,0.10645385086536407
apartment,hotel,3.33,0.27136746048927307
cup,cone,3.17,0.2025442272424698
horse,ox,3.02,0.24381519854068756
throat,nose,2.8,0.18181781470775604
bone,teeth,4.17,0.2499011904001236
bone,elbow,3.78,0.24454815685749054
bacon,bean,1.22,0.15745598077774048
cup,jar,5.13,0.19064350426197052
proof,fact,7.3,0.18769291043281555
appointment,engagement,6.75,0.20269519090652466
birthday,year,1.67,0.20383422076702118
word,clue,2.53,0.19868570566177368
author,creator,8.02,0.2626711428165436
atom,carbon,3.1,0.21529844403266907
archbishop,bishop,7.05,0.3959052264690399
letter,paragraph,4.0,0.18715594708919525
page,paragraph,3.03,0.20850175619125366
steeple,chapel,7.08,0.22271746397018433
muscle,bone,3.65,0.22462208569049835
muscle,tongue,5.0,0.20789426565170288
boy,soldier,2.15,0.18301482498645782
belly,abdomen,8.13,0.2867147922515869
guy,girl,3.33,0.2865501642227173
bed,chair,3.5,0.24257341027259827
clothes,jacket,5.15,0.2772417962551117
gun,knife,3.65,0.3035553991794586
tin,metal,5.63,0.2347143441438675
bottle,container,7.93,0.22889472544193268
hen,turkey,6.13,0.19140227138996124
meat,bread,1.67,0.262525349855423
arm,bone,3.83,0.1451476812362671
neck,spine,5.32,0.2632611393928528
apple,lemon,4.05,0.25713199377059937
agony,grief,7.63,0.23477716743946075
assignment,task,8.7,0.19592207670211792
night,dawn,2.95,0.1845495104789734
dinner,soup,3.72,0.2285875380039215
calf,bull,4.93,0.17770442366600037
snow,storm,4.8,0.2658213675022125
nail,hand,3.42,0.1580212265253067
dog,horse,2.38,0.32633793354034424
arm,neck,1.58,0.18822884559631348
ball,glove,1.75,0.181196391582489
flu,fever,6.08,0.2158052921295166
fee,salary,3.72,0.2525148391723633
nerve,brain,3.88,0.21625274419784546
beast,animal,7.83,0.24475544691085815
dinner,chicken,2.85,0.21596449613571167
girl,maid,2.93,0.19442445039749146
child,boy,5.75,0.3234182894229889
alcohol,wine,7.42,0.26552531123161316
nose,mouth,3.73,0.23735705018043518
street,car,2.38,0.22254247963428497
bell,door,2.2,0.20991581678390503
box,hat,1.3,0.18835057318210602
belief,impression,5.95,0.1881384551525116
bias,opinion,5.6,0.10185041278600693
attention,awareness,8.73,0.2176002562046051
anger,mood,4.1,0.186294287443161
elegance,style,5.72,0.2534540593624115
beauty,age,1.58,0.09218476712703705
book,theme,2.58,0.1919400542974472
friend,mother,2.53,0.2611740827560425
vitamin,iron,5.55,0.15689516067504883
car,factory,2.75,0.19125589728355408
pact,condition,2.45,0.14048530161380768
chapter,choice,0.48,0.11228348314762115
arithmetic,rhythm,2.35,0.18579739332199097
winner,presence,1.08,0.1235467791557312
belief,flower,0.4,0.08050765842199326
winner,goal,3.23,0.1653987467288971
trick,size,0.48,0.09923873096704483
